id,maintainable_item,part,position_1pm,failure_mode_tm,failure_cause_tm,work_order_type,work_order,work_order_desc,actual_start_date,actual_finish,equip_name,equip_id,notification,long_text_notification,material,material_desc,batch,purchase_item_text,operation,vendor,workstream,model,model_size,model_variant,edited_flag,censored,remove,cum_smu_hours,actual_materials_cost,actual_services_cost
11,Retard Speed Control Dial: DIAL-01,Motor Brush,,Failed,Age,PM03,431109369,RSC pot U/S,26/01/2014,26/01/2014,3131.01.04.74-TK015,3131.01.04.74-TK015,405737617,25.01.2014 10:48:33 Daniel Pomeroy (POMED)  Replace potentiometer part ed2863  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required:  1 fitter 2 hours   *     *    ,10366576,"POTENTIOMETER,RSC,KOMATSU ED2863",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,3818,578.28,0
1099,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM01,414882267,No handle on hoist lever.,22/05/2018,22/05/2018,3111.01.04.74-TK025,3111.01.04.74-TK025,419426969,24.03.2018 06:28:41 UTC Jamie Rayner (RAYNJI9) Phone 07 4940 4333    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  No handle on hoist lever. there is only a peice of hex steel   *  raised notification to have replaced. unsure if correct number as it is the only one i could find in online parts book.   Define work requirements; including known materials specialist labour special tools that are required:  1 X 10855529 1 X fiter 2hr   *  NIL   *  NIL     24.03.2018 06:38:04 UTC Jamie Rayner (RAYNJI9) Phone 07 4940 4333 a different order for same job on different machine has number listed as 10389794 22.05.2018 19:37:51 UTC Steven Gravino (GRAVSA9) Phone +61733298549 job completed,10855529,"LEVER ASSY,KOMATSU PC2873",,,Blackwater Mine,,Drive System (HV),0.093,,,0,0,0,16217,1343.37,0
13,Horn: HORN-21,Motor Brush,,Failed,Age,PM03,431122744,PBrake Door alarm/Wshop horn not working,31/01/2014,31/01/2014,3131.01.04.74-TK015,3131.01.04.74-TK015,405811087,31.01.2014 09:09:55 Timothy Barron (BARRT) Park Brake Door alarm and Wshop horn not working Has faulty horn under LH deck  1x 1631201 horn 1x Fitter and 1x Auto elec with working @heights to use scissor lift to access horn 4 hrs labour,10001412,"HORN,DISK,24V,ASHDOWN ACX5101",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,3868,37,0
14,Horn: HORN-21,Motor Brush,F,Failed,Age,PM02,422700624,500H Mech Svce Truck Rear Dump RD16 GR,5/02/2014,5/02/2014,3131.01.04.74-TK016,3131.01.04.74-TK016,404775067,,,,,HORN AS - 24 174-7875,Goonyella Riverside Mine,30119930,Drive System (HV),0.093,,,0,0,0,3713,6122.31,0
1100,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433345897,Direction Signal Mismatch,22/05/2018,22/05/2018,3131.01.04.74-TK013,3131.01.04.74-TK013,419949968,21.05.2018 00:04:43 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Propulsion fault. Checked faults and found 4 counts of direction signal faults. Found forward and reverse being requested at the same time. CHecked selector and foun it to be quite worn Magnet is shorting out on solder joints on PCBoard replace selector.   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x elec 2 hr 1 x 10855529   *     *     22.05.2018 03:35:58 UTC Mitchell Thorning (THORMC9) Replaced selector test ok.,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,29380,1283.52,0
1105,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433353944,Gear selector faulty,29/05/2018,29/05/2018,3131.01.04.74-TK102,3131.01.04.74-TK102,420019953,27.05.2018 10:23:24 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Gear selector faulty.  10855529 x 1   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,4195,1283.52,0
1110,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433362476,Gear selector u/s,4/06/2018,4/06/2018,3111.01.04.74-TK026,3111.01.04.74-TK026,420090424,03.06.2018 15:35:05 UTC Ben Daly (DALYB9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Maintainer has diagnosed that the gear selector for rd26 is u/s and needs to be replaced.   *  Notification raised   Define work requirements; including known materials specialist labour special tools that are required:  1x autoelect 2hrs to replace 1x 10855529 selector   *     *       04.06.2018 12:35:26 UTC Ben Daly (DALYB9) COMPLETED,10855529,"LEVER ASSY,KOMATSU PC2873",,,Blackwater Mine,,Drive System (HV),0.093,,,0,0,0,15885,1373.85,0
1114,Grid Blower Motor: MOTR-51,Blower Motor,R,Worn,Age,PM03,433365492,BM1 U/S,7/06/2018,7/06/2018,3111.01.04.74-TK025,3111.01.04.74-TK025,420114172,06.06.2018 02:16:12 UTC Jamie Rayner (RAYNJI9) Phone 07 4940 4333    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Machine faulted with Grid Blower Delta   *  Inspected grid blower motors and found BM2 to be nearly new and BM1 comm to be burnt with evidense of heat marks. the grounding brush slipring was also not making very good connection   Define work requirements; including known materials specialist labour special tools that are required:  2 X electricians 3hrs 1 X 10369095   *  NIL   *  NIL  ,10369095,"MOTOR ASSY,BLOWER,KOMATSU XA4146",REPAIRED,,Blackwater Mine,,Drive System (HV),0.093,,,0,0,0,16493,138022.58,0
1136,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433387436,Replace faulty gear selector,24/06/2018,24/06/2018,3131.01.04.74-TK029,3131.01.04.74-TK029,420291123,23.06.2018 18:06:52 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace faulty gear selector.  1 x 10855529 1 MN15-E02 x 1hr   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,26376,1283.52,0
1246,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433473491,Replace Sticking Gear Selector,5/09/2018,5/09/2018,3131.01.04.74-TK022,3131.01.04.74-TK022,421019027,03.09.2018 02:45:34 UTC Phillip Murdoch (MURDP)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Gear Selector button is sticking and becoming hard to change gears. need to replace selector   *  entered Notification   Define work requirements; including known materials specialist labour special tools that are required:  1 x Electrician 2 hours 1 x 10855529 (PC2873)   *  nil   *  nil  ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,41219,1283.52,0
1257,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433482215,replace u/s stair elec motor,14/09/2018,15/09/2018,3131.01.04.74-TK027,3131.01.04.74-TK027,421091228,10.09.2018 02:09:59 UTC Phil May (MAYPH)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  replace u/s stair elec motor   *     Define work requirements; including known materials specialist labour special tools that are required:  10336921 x1 fitter x3hrs  *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,27448,4309.54,0
1275,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433478061,HYD hoist pump Leaking,23/09/2018,23/09/2018,3131.01.04.74-TK025,3131.01.04.74-TK025,421059598,06.09.2018 17:04:26 UTC Steven Williams (WILLST92) Phone +61748473242  HYD hoist pump Leaking Fitters x 2 x 6hrs  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,41014,15994.28,0
1290,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433502282,acc damage-lh deck,5/10/2018,6/10/2018,3131.01.04.74-TK115,3131.01.04.74-TK115,421265732,26.09.2018 21:20:41 UTC Phil May (MAYPH)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  acc damage-lh deck   *     Define work requirements; including known materials specialist labour special tools that are required:  2x 10290471   *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,2540,9998.01,0
1291,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433515788,Gear selector requires replacement,8/10/2018,8/10/2018,3111.01.04.74-TK027,3111.01.04.74-TK027,421381546,07.10.2018 22:15:28 UTC Robert Charles (CHARRA9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  During maintenance it was found that the Gear selector lever has an issue when it is in the parked position the door open alarm is being triggered when the door opens. The selector requires replacement    *  Raise notifications   Define work requirements; including known materials specialist labour special tools that are required: 1 x electrician 2 hrs. Change out gear selector. 1 x 10855529    * Machine will be down    *      ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Blackwater Mine,,Drive System (HV),0.093,,,0,0,0,18811,1283.52,0
25,HV Alternator Brushes: ALTR-BRSH-16,Brushes,,,,PM03,431141185,Replace Short Gridblower brushes,15/02/2014,15/02/2014,3131.01.04.74-TK020,3131.01.04.74-TK020,405914180,08.02.2014 23:21:37 Danny Wallace (WALLD92)  Replace Short Gridblower brushes 4x 10366692 1 elect 2hr   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,10366692,"BRUSH,KOMATSU VE7260",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,1,1,15416,168.41,0
26,Retard Contactor: CTCR-21,Contactor,RP1,Damaged,tip maintenance,PM03,431155679,RP 1 contact tips welded GR,15/02/2014,16/02/2014,3131.01.04.74-TK018,3131.01.04.74-TK018,405992438,15.02.2014 04:18:02 Ronald Piggott (PIGGR9) RP 1 has melted contact tips they need replacing 1 x electrician 4 hrs 1x contact kit 10366621,10369098,"CONTACTOR,KOMATSU GE0647",REPAIRED,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,1,0,0,14949,5035.38,0
1295,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433522714,directional controller U/S,14/10/2018,14/10/2018,3131.01.04.74-TK020,3131.01.04.74-TK020,421444414,13.10.2018 09:35:47 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  fwd contoller not working   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,42965,8652.45,0
1370,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM01,414871957,Replace Damage Front mudflap LHR,2/12/2018,2/12/2018,3131.01.04.74-TK109,3131.01.04.74-TK109,419397271,20.03.2018 14:45:43 UTC Simon Lindsay (LINDSI)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  LHR mudflap support has been torn off and half the mudflap as well parts will need to be materialized end extended to site. Photo attached to notification 1 x fitter 3hrs 1 x 58D-80-00350 mudflap 1 x XB8469 retainer 1 x XB8409 bracket,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,5904,2270.9,0
29,Grid Blower Motor Brushes: MOTR-BRSH-51,,,,,PM03,431141185,Replace Short Gridblower brushes,15/02/2014,15/02/2014,RD20,3131.01.04.74-TK020,,,,,,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,1,0,0,15416,0,0
1428,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433674701,ACC DAMAGE to front of truck,9/02/2019,10/02/2019,3131.01.04.74-TK115,3131.01.04.74-TK115,422728818,09.02.2019 10:08:19 UTC Todd Woolston (WOOLT1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Front R/H on truck damaged due to Crash Photo attached   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,4612,1330.1,0
1476,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433739976,Main fan belt has rib missing replace,8/04/2019,8/04/2019,3131.01.04.74-TK102,3131.01.04.74-TK102,423202079,02.04.2019 00:24:47 UTC Phillip Hudson (HUDSPA9) Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names) Main fan belt has rib missing replace. Truck heading to Workshop 2 after service for belt replacement  * Notification raised  Define work requirements; including known materials specialist labour special tools that are required 1x Fitter  3x Hours  1x Belt- 4015784. 2 Stock: 10516369  *   *  ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,9540,1988.44,0
1489,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433757192,park brakes failed,18/04/2019,18/04/2019,3131.01.04.74-TK016,3131.01.04.74-TK016,423318120,15.04.2019 10:53:38 UTC Robert Finn (FINNR1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  park brakes failed   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,35070,9255.57,0
33,Arc Chutes: ACHUT-21,Arc Chutes,,damaged,heat,PM03,431198045,RP1 faulty will need to be replaced,7/03/2014,17/03/2014,3131.01.04.74-TK023,3131.01.04.74-TK023,406234305,06.03.2014 13:41:23 Lachlan King (KINGLA91) RP1 ARC CHUTE FAULTY CAUSING RP TO STICK AND BURN OUT. CONTACTOR WILL NEED TO BE REPLACED.  1 X RP CONTACTOR (10369098) 1 X RP CONTACTOR TIPS KIT (10366621) 1 X ARC CHUTE (10386435)   1 X ELECTRICIAN 2 HRS,10386435,"CHUTE,ARC,KOMATSU VJ0846",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,14909,-5016.81,0
34,Retard Contactor: CTCR-21,Contactor,RP1,Damaged,tip maintenance,PM03,431198045,RP1 faulty will need to be replaced,7/03/2014,17/03/2014,3131.01.04.74-TK023,3131.01.04.74-TK023,406234305,06.03.2014 13:41:23 Lachlan King (KINGLA91) RP1 ARC CHUTE FAULTY CAUSING RP TO STICK AND BURN OUT. CONTACTOR WILL NEED TO BE REPLACED.  1 X RP CONTACTOR (10369098) 1 X RP CONTACTOR TIPS KIT (10366621) 1 X ARC CHUTE (10386435)   1 X ELECTRICIAN 2 HRS,10369098,"CONTACTOR,KOMATSU GE0647",REPAIRED,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,1,0,0,14909,-5016.81,0
35,RP Contactor Tip: CTIP-21,Contactor Tip,RPTip1,,,PM03,431198045,RP1 faulty will need to be replaced,7/03/2014,17/03/2014,3131.01.04.74-TK023,3131.01.04.74-TK023,406234305,06.03.2014 13:41:23 Lachlan King (KINGLA91) RP1 ARC CHUTE FAULTY CAUSING RP TO STICK AND BURN OUT. CONTACTOR WILL NEED TO BE REPLACED.  1 X RP CONTACTOR (10369098) 1 X RP CONTACTOR TIPS KIT (10366621) 1 X ARC CHUTE (10386435)   1 X ELECTRICIAN 2 HRS,10366621,"CONTACT KIT,RP,KOMATSU GE1075",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,1,0,14909,-5016.81,0
1514,Forward/Reverse Gear Selector Lever: LEVR-22,Gear Selector,,Worn,Age,PM03,433779150,gear selector faulty,8/05/2019,8/05/2019,3131.01.04.74-TK111,3131.01.04.74-TK111,423464661,03.05.2019 04:50:18 UTC Robert Finn (FINNR1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  gear selector faulty.  one E02 one hour  one of 10855529    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,10855529,"LEVER ASSY,KOMATSU PC2873",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,8084,1988.5,0
1,RP Contactor Tip: CTIP-21,Contactor Tip,RPTip1,Worn,Age,PM02,421483878,1000 H  Mech Svce Truck Rear Dump RD14,1/08/2013,2/08/2013,3131.01.04.74-TK014,3131.01.04.74-TK014,403065415,,10366621,"CONTACT KIT,RP,KOMATSU GE1075",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,909,7642.39,0
2,RP Contactor Tip: CTIP-21,Contactor Tip,RPTip1,Worn,Age,PM03,430542953,RP contactors 1 & 2 tips need replacing,15/08/2013,15/08/2013,3131.01.04.74-TK013,3131.01.04.74-TK013,403240184,15.08.2013 03:27:22 Danny Wallace (WALLD92)    RP contact tips on both 1 and 2 have worn down and need replacing. 10366621 x2 Pick up from stor about 3pm   *  Replace   Define work requirements; including known materials specialist labour special tools that are required: 1x electrician 3hrs    *     *  Found on service 421483837 1517hours  ,10366621,"CONTACT KIT,RP,KOMATSU GE1075",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,1,0,0,1517,5969.44,0
3,RP Contactor Tip: CTIP-21,Contactor Tip,RPTip1,Worn,Age,PM03,430544507,RP1 and RP2 contact Tips Need Replacing,19/08/2013,19/08/2013,3131.01.04.74-TK016,3131.01.04.74-TK016,403248823,16.08.2013 18:38:22 Danny Wallace (WALLD92)  Contact tips for RP1 and RP2 are worn down and i don't belive they will make another 500hrs 1x electrician 3 hours 2x 10366621 contact kits   *  Replaced   Define work requirements; including known materials specialist labour special tools that are required: 1x electrician 3 hours    *     *  As per GE definitions worn out  ,10366621,"CONTACT KIT,RP,KOMATSU GE1075",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,1,0,0,1089,5969.44,0
4,RP Contactor Tip: CTIP-21,Contactor Tip,RPTip1,Worn,Age,PM03,430900586,REPLACE RP1 AND RP2 CONTACTOR TIPS,15/10/2013,15/10/2013,3131.01.04.74-TK016,3131.01.04.74-TK016,404540765,15.10.2013 01:31:57 Stuart Mau (MAUST)    Define work requirements; including known materials specialist labour special tools that are required: contactor tips at rp1 and rp2 are worn and require replacing . 1 x electrician 2 hours 2 x 10366621 .   *     *     ,10366621,"CONTACT KIT,RP,KOMATSU GE1075",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,2157,5969.44,0
6,RP Contactor Tip: CTIP-21,Contactor Tip,RPTip1,Worn,Age,PM03,431032822,Replace RP1 Contacts,18/12/2013,18/12/2013,3131.01.04.74-TK013,3131.01.04.74-TK013,405299791,17.12.2013 14:10:30 Danny Wallace (WALLD92)  Replace RP1 contact Tips now as they have worn out The moveable tips to copper. 1x 10366621 2hrs work.  * Replaced     Define work requirements; including known materials specialist labour special tools that are required: HV electrician    *  Power off   *    ,10366621,"CONTACT KIT,RP,KOMATSU GE1075",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,3686,2984.72,0
7,RP Contactor Tip: CTIP-21,Contactor Tip,RPTip1,Worn,Age,PM02,423080518,500H Mech Svce Truck Rear Dump RD23,19/01/2014,20/01/2014,3131.01.04.74-TK023,3131.01.04.74-TK023,405586370,,10366621,"CONTACT KIT,RP,KOMATSU GE1075",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,1,0,0,14358,11787.4,0
8,RP Contactor Tip: CTIP-21,Contactor Tip,RPTip1,Worn,Age,PM01,411915494,Exhaust Lagging in Poor Condition,20/01/2014,20/01/2014,3131.01.04.74-TK019,3131.01.04.74-TK019,405456273,01.01.2014 06:17:40 Rudi Martell (MARTRU2)    Define work requirements; including known materials specialist labour special tools that are required: exhaust lagging in poor condition fitter to scope for replacement of lagging 1 x fitter 2 hrs    *     *    ,10366621,"CONTACT KIT,RP,KOMATSU GE1075",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,0,0,14713,3171.55,0
9,RP Contactor Tip: CTIP-21,Contactor Tip,RPTip2,Worn,Age,PM01,411913385,Replace RP2 Contacts,21/01/2014,22/01/2014,3131.01.04.74-TK013,3131.01.04.74-TK013,405299797,17.12.2013 14:15:06 Danny Wallace (WALLD92) Replace RP2 Contacts next service as ware is getting to standard of requiring replacement. 1x 10366621 and 2hrs work  * Notification     Define work requirements; including known materials specialist labour special tools that are required: HV electrician    * Power Off    *    ,10366621,"CONTACT KIT,RP,KOMATSU GE1075",,,Goonyella Riverside Mine,,Drive System (HV),0.093,,,0,1,1,4223,2984.72,0
