,failure_mode_tm,long_text_notification,clean_text,stop_words_removed,stemmed
15,Worn,27.05.2018 10:23:24 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Gear selector faulty.  10855529 x 1   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,gear selector,gear selector,gear selector
16,Worn,03.06.2018 15:35:05 UTC Ben Daly (DALYB9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Maintainer has diagnosed that the gear selector for rd26 is u/s and needs to be replaced.   *  Notification raised   Define work requirements; including known materials specialist labour special tools that are required:  1x autoelect 2hrs to replace 1x 10855529 selector   *     *       04.06.2018 12:35:26 UTC Ben Daly (DALYB9) COMPLETED,maintainer has diagnosed that the gear selector for is and needs to be notification raised autoelect to replace selector utc ben daly completed,maintainer diagnosed gear selector needs notification raised autoelect replace selector utc ben daly completed,maintain diagnos gear selector need notif rais autoelect replac selector utc ben dali complet
17,Worn,06.06.2018 02:16:12 UTC Jamie Rayner (RAYNJI9) Phone 07 4940 4333    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Machine faulted with Grid Blower Delta   *  Inspected grid blower motors and found BM2 to be nearly new and BM1 comm to be burnt with evidense of heat marks. the grounding brush slipring was also not making very good connection   Define work requirements; including known materials specialist labour special tools that are required:  2 X electricians 3hrs 1 X 10369095   *  NIL   *  NIL  ,machine faulted with grid blower delta inspected grid blower motors and found to be nearly new and comm to be burnt with evidense of heat the grounding brush slipring was also not making very good connection electricians nil nil,machine faulted grid blower delta inspected grid blower motors found nearly new comm burnt evidense heat grounding brush slipring also making good connection electricians nil nil,machin fault grid blower delta inspect grid blower motor found near new comm burnt evidens heat ground brush slipr also make good connect electrician nil nil
18,Worn,23.06.2018 18:06:52 UTC Corey Oliver (OLIVC91) Phone +61407754106    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace faulty gear selector.  1 x 10855529 1 MN15-E02 x 1hr   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace faulty gear,replace faulty gear,replac faulti gear
19,Worn,03.09.2018 02:45:34 UTC Phillip Murdoch (MURDP)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Gear Selector button is sticking and becoming hard to change gears. need to replace selector   *  entered Notification   Define work requirements; including known materials specialist labour special tools that are required:  1 x Electrician 2 hours 1 x 10855529 (PC2873)   *  nil   *  nil  ,gear selector button is sticking and becoming hard to change need to replace selector entered notification electrician hours nil nil,gear selector button sticking becoming hard change need replace selector entered notification electrician hours nil nil,gear selector button stick becom hard chang need replac selector enter notif electrician hour nil nil
20,Worn,10.09.2018 02:09:59 UTC Phil May (MAYPH)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  replace u/s stair elec motor   *     Define work requirements; including known materials specialist labour special tools that are required:  10336921 x1 fitter x3hrs  *     *    ,replace stair elec motor fitter,replace stair elec motor fitter,replac stair elec motor fitter
22,Worn,26.09.2018 21:20:41 UTC Phil May (MAYPH)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  acc damage-lh deck   *     Define work requirements; including known materials specialist labour special tools that are required:  2x 10290471   *     *    ,acc deck,acc deck,acc deck
23,Worn,07.10.2018 22:15:28 UTC Robert Charles (CHARRA9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  During maintenance it was found that the Gear selector lever has an issue when it is in the parked position the door open alarm is being triggered when the door opens. The selector requires replacement    *  Raise notifications   Define work requirements; including known materials specialist labour special tools that are required: 1 x electrician 2 hrs. Change out gear selector. 1 x 10855529    * Machine will be down    *      ,during maintenance it was found that the gear selector lever has an issue when it is in the parked position the door open alarm is being triggered when the door the selector requires replacement raise notifications electrician change out gear machine will be down,maintenance found gear selector lever issue parked position door open alarm triggered door selector requires replacement raise notifications electrician change gear machine,mainten found gear selector lever issu park posit door open alarm trigger door selector requir replac rais notif electrician chang gear machin
26,Worn,13.10.2018 09:35:47 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  fwd contoller not working   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,fwd contoller not working,fwd contoller working,fwd contol work
27,Worn,20.03.2018 14:45:43 UTC Simon Lindsay (LINDSI)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  LHR mudflap support has been torn off and half the mudflap as well parts will need to be materialized end extended to site. Photo attached to notification 1 x fitter 3hrs 1 x 58D-80-00350 mudflap 1 x XB8469 retainer 1 x XB8409 bracket,lhr mudflap support has been torn off and half the mudflap as well parts will need to be materialized end extended to photo attached to notification fitter mudflap retainer bracke lhr mudflap support has been torn off and half the mudflap as well parts will need to be materialized end extended to photo attached to notification fitter mudflap retainer bracket,lhr mudflap support torn half mudflap well parts need materialized end extended photo attached notification fitter mudflap retainer bracke lhr mudflap support torn half mudflap well parts need materialized end extended photo attached notification fitter mudflap retainer bracket,lhr mudflap support torn half mudflap well part need materi end extend photo attach notif fitter mudflap retain brack lhr mudflap support torn half mudflap well part need materi end extend photo attach notif fitter mudflap retain bracket
29,Worn,09.02.2019 10:08:19 UTC Todd Woolston (WOOLT1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Front R/H on truck damaged due to Crash Photo attached   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,front on truck damaged due to crash photo attached,front truck damaged due crash photo attached,front truck damag due crash photo attach
31,Worn,15.04.2019 10:53:38 UTC Robert Finn (FINNR1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  park brakes failed   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,park brakes failed,park brakes failed,park brake fail
35,Worn,03.05.2019 04:50:18 UTC Robert Finn (FINNR1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  gear selector faulty.  one E02 one hour  one of 10855529    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,gear selector one one hour one of,gear selector one one hour one,gear selector one one hour one
62,worn,20.02.2014 02:08:49 Eric Abbott (GRABBE)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):Alternator Brushes / Blower Brushes Replace worn below limit Part Number VE 8445 X 3 VE 4034 X 2 This task will take 1 x Electrician 2hrs to Complete     * Create Notification     Define work requirements; including known materials specialist labour special tools that are required:1 x Electrician plus parts     * Nil     *      ,alternator brushes blower brushes replace worn below limit part number ve ve this task will take electrician to complete create notification electrician plus parts nil,alternator brushes blower brushes replace worn limit part number task take electrician complete create notification electrician plus parts nil,altern brush blower brush replac worn limit part number task take electrician complet creat notif electrician plus part nil
74,Failed,27.05.2014 09:02:31 Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Inverter fault 173/4 173/5   *  Truck has gone down on the ramp at 12S numerous times parked up now. We don't stock 930E-4 phase modules for some reason so I'll check at Downers.   Define work requirements; including known materials specialist labour special tools that are required:  Electrician to investigate which phase module is U/S and get one ordered and replace - 12 hours   *  nil   *  nil  ,inverter fault truck has gone down on the ramp at numerous times parked up we stock phase modules for some reason so check at electrician to investigate which phase module is and get one ordered and replace hours nil nil,inverter fault truck gone ramp numerous times parked stock phase modules reason check electrician investigate phase module get one ordered replace hours nil nil,invert fault truck gone ramp numer time park stock phase modul reason check electrician investig phase modul get one order replac hour nil nil
75,Failed,27.05.2014 09:02:31 Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Inverter fault 173/4 173/5   *  Truck has gone down on the ramp at 12S numerous times parked up now. We don't stock 930E-4 phase modules for some reason so I'll check at Downers.   Define work requirements; including known materials specialist labour special tools that are required:  Electrician to investigate which phase module is U/S and get one ordered and replace - 12 hours   *  nil   *  nil  ,inverter fault truck has gone down on the ramp at numerous times parked up we stock phase modules for some reason so check at electrician to investigate which phase module is and get one ordered and replace hours nil nil,inverter fault truck gone ramp numerous times parked stock phase modules reason check electrician investigate phase module get one ordered replace hours nil nil,invert fault truck gone ramp numer time park stock phase modul reason check electrician investig phase modul get one order replac hour nil nil
92,Failed,11.06.2014 23:27:39 Eric Abbott (GRABBE)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):Electric Horn Open Circuit PN 1747875 X 1 this task will take 1 X Auto electrician 2hrs to complete     * Create WO and complete task before leaving work shop     Define work requirements; including known materials specialist labour special tools that are required:1 X Auto electrician plus Part     * Nil     *      ,electric horn open circuit pn this task will take auto electrician to complete create wo and complete task before leaving work shop auto electrician plus part nil,electric horn open circuit pn task take auto electrician complete create wo complete task leaving work shop auto electrician plus part nil,electr horn open circuit pn task take auto electrician complet creat wo complet task leav work shop auto electrician plus part nil
123,worn,28.04.2014 06:28:12 Shaun Rose (ROSES91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  1 lecky 2 hrs to change out 6 alternator brushes   *  made notification   Define work requirements; including known materials specialist labour special tools that are required:  6x 10366693 alternator brushes   *  nil   *  nil    ,lecky hrs to change out alternator brushes made notification alternator brushes nil nil,lecky hrs change alternator brushes made notification alternator brushes nil nil,lecki hrs chang altern brush made notif altern brush nil nil
124,worn,11.06.2014 02:32:26 Jeff Peterson (PETEJX)  Replace blower alternator brushes  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required: 1X electrician 2 hours 4x 10366692 brushes blower motor 1x 10366693 brushes alternator    *  NIL   * NIL     ,electrician hours brushes blower motor brushes alternator nil nil,electrician hours brushes blower motor brushes alternator nil nil,electrician hour brush blower motor brush altern nil nil
134,Damaged,18.08.2014 14:49:28 Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RP Contactor U/S - Replace   *  Checked - U/S   Define work requirements; including known materials specialist labour special tools that are required:  10369098 x 1 Sparky for 2 hours   *  nil   *  nil  ,rp contactor replace checked sparky for hours nil nil,rp contactor replace checked sparky hours nil nil,rp contactor replac check sparki hour nil nil
135,worn,18.08.2014 14:49:28 Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  RP Contactor U/S - Replace   *  Checked - U/S   Define work requirements; including known materials specialist labour special tools that are required:  10369098 x 1 Sparky for 2 hours   *  nil   *  nil  ,rp contactor replace checked sparky for hours nil nil,rp contactor replace checked sparky hours nil nil,rp contactor replac check sparki hour nil nil
139,worn,24.06.2014 02:39:48 Stuart Mau (MAUST)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): replace rp1 and rp2 contacts worn . 1 x electrician 5 hours 2 x 10366621 8 x 10366692 .    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *      ,replace and contacts worn electrician hours,replace contacts worn electrician hours,replac contact worn electrician hour
142,Worn,24.06.2014 02:39:48 Stuart Mau (MAUST)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): replace rp1 and rp2 contacts worn . 1 x electrician 5 hours 2 x 10366621 8 x 10366692 .    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *      ,replace and contacts worn electrician hours,replace contacts worn electrician hours,replac contact worn electrician hour
150,worn,01.07.2014 12:38:09 Jason Wicks (WICKJA) Phone 07 49424941    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Blower motor brushes worn RP TIPS WORN 2 X 10366621 4 X 10366692 4 X 10366695.  ELECTRICIAN 3 HRS    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,blower motor brushes worn rp tips worn electrician hrs,blower motor brushes worn rp tips worn electrician hrs,blower motor brush worn rp tip worn electrician hrs
151,Worn,01.07.2014 12:38:09 Jason Wicks (WICKJA) Phone 07 49424941    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Blower motor brushes worn RP TIPS WORN 2 X 10366621 4 X 10366692 4 X 10366695.  ELECTRICIAN 3 HRS    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,blower motor brushes worn rp tips worn electrician hrs,blower motor brushes worn rp tips worn electrician hrs,blower motor brush worn rp tip worn electrician hrs
156,worn,23.06.2014 02:46:26 Stuart Mau (MAUST)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): replace blower motor brushes at next planned maintainance day . 1 x electrician 2 hours 8 x 10366692 . p3    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *      ,replace blower motor brushes at next planned maintainance day electrician hours,replace blower motor brushes next planned maintainance day electrician hours,replac blower motor brush next plan maintain day electrician hour
158,Worn,28.07.2014 13:55:52 Robert Benbow (BENBR)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): RP 1 2 Contact tips worn.  1 x HV electrician 2 Hrs    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,rp contact tips hv electrician hrs,rp contact tips hv electrician hrs,rp contact tip hv electrician hrs
159,Failed,29.09.2014 15:14:01 Darren Drewett (DREWD)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): BLOWER MOTOR 2 HAS HAD A FLASHOVER 1 ELECT X 6HRS     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,blower motor has had flashover elect,blower motor flashover elect,blower motor flashov elect
162,worn,28.07.2014 20:43:21 Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Brushes getting low on Blower Motor 1 (nearest to cab). Get in shop replace within the next few days please. Check BM2 while the truck is in here please.   *  Reported   Define work requirements; including known materials specialist labour special tools that are required:  10366692 x 6 Electrician for 2 hours   *     *    ,brushes getting low on blower motor to get in shop replace within the next few days check while the truck is in here reported electrician for hours,brushes getting low blower motor get shop replace within next days check truck reported electrician hours,brush get low blower motor get shop replac within next day check truck report electrician hour
163,Damaged,06.10.2014 01:28:36 Kim Ottone (OTTOK9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Found at service electrical inspection the RP contactor tips need replacing also the operating lever.     *  Need to replace parts today.     Define work requirements; including known materials specialist labour special tools that are required:  1 HV electrician 4 Hrs Book out 3 of 10366621 3 of 10366619     *     *      ,found at service electrical inspection the rp contactor tips need replacing also the operating need to replace parts hv electrician hrs book out of of,found service electrical inspection rp contactor tips need replacing also operating need replace parts hv electrician hrs book,found servic electr inspect rp contactor tip need replac also oper need replac part hv electrician hrs book
166,worn,11.08.2014 02:06:53 Kim Ottone (OTTOK9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Found during electrical inspection the truck requires new brushes contacts tips     *  book out parts replace during service today     Define work requirements; including known materials specialist labour special tools that are required:  1 HV Electrician 4 Hrs book out 4 of 10366692 brush 3 of 10366693 brush 2 of 10366621 contact kit     *     *      ,found during electrical inspection the truck requires new brushes contacts tips book out parts replace during service today hv electrician hrs book out of brush of brush of contact kit,found electrical inspection truck requires new brushes contacts tips book parts replace service today hv electrician hrs book brush brush contact kit,found electr inspect truck requir new brush contact tip book part replac servic today hv electrician hrs book brush brush contact kit
167,worn,11.08.2014 02:06:53 Kim Ottone (OTTOK9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Found during electrical inspection the truck requires new brushes contacts tips     *  book out parts replace during service today     Define work requirements; including known materials specialist labour special tools that are required:  1 HV Electrician 4 Hrs book out 4 of 10366692 brush 3 of 10366693 brush 2 of 10366621 contact kit     *     *      ,found during electrical inspection the truck requires new brushes contacts tips book out parts replace during service today hv electrician hrs book out of brush of brush of contact kit,found electrical inspection truck requires new brushes contacts tips book parts replace service today hv electrician hrs book brush brush contact kit,found electr inspect truck requir new brush contact tip book part replac servic today hv electrician hrs book brush brush contact kit
173,Worn,11.08.2014 02:06:53 Kim Ottone (OTTOK9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Found during electrical inspection the truck requires new brushes contacts tips     *  book out parts replace during service today     Define work requirements; including known materials specialist labour special tools that are required:  1 HV Electrician 4 Hrs book out 4 of 10366692 brush 3 of 10366693 brush 2 of 10366621 contact kit     *     *      ,found during electrical inspection the truck requires new brushes contacts tips book out parts replace during service today hv electrician hrs book out of brush of brush of contact kit,found electrical inspection truck requires new brushes contacts tips book parts replace service today hv electrician hrs book brush brush contact kit,found electr inspect truck requir new brush contact tip book part replac servic today hv electrician hrs book brush brush contact kit
175,Worn,12.08.2014 03:29:24 Kim Ottone (OTTOK9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Found during electrical service inspection the RP contact tips need replacing.     *  Book out fit new contact tips     Define work requirements; including known materials specialist labour special tools that are required:  1 HV electrician 4 hrs  book out 2 of 10366621 contact kits     *     *      ,found during electrical service inspection the rp contact tips need book out fit new contact tips hv electrician hrs book out of contact kits,found electrical service inspection rp contact tips need book fit new contact tips hv electrician hrs book contact kits,found electr servic inspect rp contact tip need book fit new contact tip hv electrician hrs book contact kit
176,worn,19.08.2014 02:59:16 Shaun Rose (ROSES91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  need to replace alternator brushes 3x 10366693   *  made w/o   Define work requirements; including known materials specialist labour special tools that are required:  3 x 10366693   *  nil   *  nil    ,need to replace alternator brushes made nil nil,need replace alternator brushes made nil nil,need replac altern brush made nil nil
186,worn,04.07.2014 06:23:40 Robert Finn (FINNR1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  replace HV alt brushes. one lecky 2 hours. 3 of brushes 10366693   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *         Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace hv alt one lecky of brushes brief description of what occurred basic sequence of events and impacts avoiding the use of personnel define work including known materials specialist labour special tools that are,replace hv alt one lecky brushes brief description occurred basic sequence events impacts avoiding use personnel define work including known materials specialist labour special tools,replac hv alt one lecki brush brief descript occur basic sequenc event impact avoid use personnel defin work includ known materi specialist labour special tool
190,worn,04.11.2014 10:33:38 Lachlan King (KINGLA91)  RP1 has had a meltdown causing exccessive damge to contactor and will need to be replaced. Arc chute also has been damaged due to high tempretures when the fault has occured. Could not remove arc chute from contactor to investigate further causes. Have removed and will be sent away to be repaired.  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Electrician 4 Hrs  1 x Contactor (10369098)     *     *    ,electrician hrs contactor,electrician hrs contactor,electrician hrs contactor
192,output,07.11.2014 20:36:16 Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Power Supply U/S   *  +5VDC supply at 4.8V Replace Power Supply Unit   Define work requirements; including known materials specialist labour special tools that are required:  10517030 x 1 Electrician for 4 hours to fit test   *  nil   *  nil  ,power supply supply at replace power supply unit electrician for hours to fit test nil nil,power supply supply replace power supply unit electrician hours fit test nil nil,power suppli suppli replac power suppli unit electrician hour fit test nil nil
193,worn,18.08.2014 19:16:41 Eric Abbott (GRABBE)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names;2 X Alternator Bushes U/S Pn 10366693 this task willtake 1 X Auto electrician 1hr to complete task     * Create WO and Plan in     Define work requirements; including known materials specialist labour special tools that are required:1 X Auto electrician     * Nil     *      ,auto electrician nil auto electrician nil,auto electrician nil auto electrician nil,auto electrician nil auto electrician nil
203,Failed,09.12.2014 22:39:57 Kim Ottone (OTTOK9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  The blower motor is still u/s as the com is burnt.     *  Need to replace the blower motor     Define work requirements; including known materials specialist labour special tools that are required:  1 HV electrician 6 Hrs 1 Fitter 6 Hrs book out 1 of 108555532 blower motor     *     *      ,the blower motor is still as the com is need to replace the blower motor hv electrician hrs fitter hrs book out of blower motor,blower motor still com need replace blower motor hv electrician hrs fitter hrs book blower motor,blower motor still com need replac blower motor hv electrician hrs fitter hrs book blower motor
204,worn,18.09.2014 12:48:16 Grant Walker (WALKGR)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  MACHINE HAD A RETARD FAULT AND INVESERGATION FOUND THAT THE BRUSHES WERE WELL WORN AND COMUTATOR STALLING.   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,machine had retard fault and invesergation found that the brushes were well worn and comutator,machine retard fault invesergation found brushes well worn comutator,machin retard fault inveserg found brush well worn comut
208,Worn,29.09.2014 15:09:18 Darren Drewett (DREWD)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): 1 ELECT X 2HRS    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,elect,elect,elect
211,Failed,05.11.2014 13:23:32 Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Yellow push button broken needs replacing   *  Activated switch in on position   Define work requirements; including known materials specialist labour special tools that are required: 1 x HV elec 1hr part number 58B-58-40000    *     *    ,yellow push button broken needs replacing activated switch in on position hv elec part number,yellow push button broken needs replacing activated switch position hv elec part number,yellow push button broken need replac activ switch posit hv elec part number
212,Fails,16.12.2014 03:47:18 Owen Nugent (NUGEO91)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Accel Potentiometer U/S   *     Define work requirements; including known materials specialist labour special tools that are required:  10831598 x 1 Electrician 4 hours   *  nil   *  nil  ,accel potentiometer electrician hours nil nil,accel potentiometer electrician hours nil nil,accel potentiomet electrician hour nil nil
